compound_id,name,source_smiles,source_inchi,source_formula,inchi_connectivity_matches,source_inchikey,generated_inchikey,canonical_smiles,group_parent_key,compound_group,rdkit_formula,fragment_count,mol_MolWt,mol_MolLogP,mol_TPSA,mol_NumHDonors,mol_NumHAcceptors,mol_NumRotatableBonds,mol_RingCount,mol_NumAromaticRings,mol_NumAliphaticRings,mol_FractionCSP3,mol_HeavyAtomCount,mol_NHOHCount,mol_NOCount,mol_LabuteASA,mol_BertzCT,mol_BalabanJ,mol_Chi0v,mol_Chi1v,mol_Kappa1,mol_Kappa2,mol_FormalCharge
1,"4-Amino-1,2,4-triazole",C1=NN=CN1N,"InChI=1S/C2H4N4/c3-6-1-4-5-2-6/h1-2H,3H2",C2H4N4,True,FMCUPJKTGNBGEC-UHFFFAOYSA-N,FMCUPJKTGNBGEC-UHFFFAOYSA-N,Nn1cnnc1,[N]:[N]1:[C]:[N]:[N]:[C]:1_4_0,63590c74120e85ecd05c0c08,C2H4N4,1,84.082,-1.0081,56.73,1,3,0,1,1,0,0,6,2,4,34.5683112747,109.108505534,3.04964832131,3.07369159407,1.49099444874,3.1424291498,0.96520151005,0
2,Moniliformin,C1=C(C(=O)C1=O)O,"InChI=1S/C4H2O3/c5-2-1-3(6)4(2)7/h1,5H",C4H2O3,True,KGPQKNJSZNXOPV-UHFFFAOYSA-N,KGPQKNJSZNXOPV-UHFFFAOYSA-N,O=c1cc(O)c1=O,[O]:[C]1:[C]:[C](:[O]):[C]:1:[O]_2_0,73c4545b8949e668c76a03b2,C4H2O3,1,98.057,-1.0118,54.37,1,3,0,1,1,0,0,7,1,3,38.5277059519,240.690174921,3.44261513018,3.34106044562,1.7092053574,4.05006802721,0.931659767876,0
3,3-Amino-2-oxazolidinone,C1COC(=O)N1N ,"InChI=1S/C3H6N2O2/c4-5-1-2-7-3(5)6/h1-2,4H2",C3H6N2O2,True,KYCJNIUHWNJNCT-UHFFFAOYSA-N,KYCJNIUHWNJNCT-UHFFFAOYSA-N,NN1CCOC1=O,[NH2]-[N]1-[CH2]-[CH2]-[O]-[C]-1=[O]_0_0,c7bcada0b8e888971aefc4c3,C3H6N2O2,1,102.093,-0.6877,55.56,1,3,0,1,0,1,0.666666666667,7,2,4,40.8082318201,92.9356969695,2.47843873939,3.75527400799,1.99495687857,4.39051364366,1.38160136359,0
4,1H-benzotriazole,C1=CC2=NNN=C2C=C1,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",C6H5N3,True,QRUDEWIWKLJBPS-UHFFFAOYSA-N,QRUDEWIWKLJBPS-UHFFFAOYSA-N,c1ccc2n[nH]nc2c1,[C]1:[C]:[C]:[C]2:[N]:[N]:[N]:[C]:2:[C]:1_5_0,91876cd96b4863b74f62ede1,C6H5N3,1,119.127,0.9579,41.57,1,2,0,2,2,0,0,9,1,3,51.6984311709,282.280758714,2.95465979029,4.70382826776,2.72177746019,4.49424163307,1.54852551094,0
5,Nicotinic Acid,C1=CC(=CN=C1)C(=O)O,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",C6H5NO2,True,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP-UHFFFAOYSA-N,O=C(O)c1cccnc1,[O]:[C](:[O]):[C]1:[C]:[C]:[C]:[N]:[C]:1_5_0,f388de2f1532bd2d15000e9e,C6H5NO2,1,123.111,0.7798,50.19,1,2,1,1,1,0,0,9,1,3,51.9717490671,207.557662054,2.98145461404,4.61207655822,2.43814565833,5.7512335958,2.25933420066,0
6,Melamine,C1(=NC(=NC(=N1)N)N)N,"InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)",C3H6N6,True,JDSHMPZPIAZGSV-UHFFFAOYSA-N,JDSHMPZPIAZGSV-UHFFFAOYSA-N,Nc1nc(N)nc(N)n1,[N]:[C]1:[N]:[C](:[N]):[N]:[C](:[N]):[N]:1_6_0,903e67b4c2f9750d37336ae2,C3H6N6,1,126.123,-1.3818,116.73,3,6,0,1,1,0,0,9,6,6,51.1100191534,169.065177655,3.16567030992,4.57369159407,2.20766619028,5.54495276653,1.73121537611,0
7,Metformin,CN(C)C(=N)N=C(N)N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)",C4H11N5,True,XZWYZXLIPXDOLR-UHFFFAOYSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)N=C(N)N,[CH3]-[N](-[CH3])-[C](=[NH])-[N]=[C](-[NH2])-[NH2]_0_0,6916f867df709593d53ac483,C4H11N5,1,129.167,-1.24383,91.49,3,1,0,0,0,0,0.5,9,5,5,53.8543659204,131.893421141,3.92783097019,5.54912772938,2.39259785344,7.74,2.90710565589,0
8,"1,3-Benzothiazol",C1=CC=C2C(=C1)N=CS2,InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,C7H5NS,True,IOJUPLGTWVMSFF-UHFFFAOYSA-N,IOJUPLGTWVMSFF-UHFFFAOYSA-N,c1ccc2scnc2c1,[C]1:[C]:[C]:[C]2:[S]:[C]:[N]:[C]:2:[C]:1_5_0,d8974ef08904a88379044d8b,C7H5NS,1,135.191,2.2963,12.89,0,2,0,2,2,0,0,9,0,1,56.9730789026,282.893936766,2.95465979029,5.55870981284,3.62863517357,4.93995851412,1.80993815295,0
9,Trimethyl phosphate,COP(=O)(OC)OC,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",C3H9O4P,True,WVLBCYQITXONBZ-UHFFFAOYSA-N,WVLBCYQITXONBZ-UHFFFAOYSA-N,COP(=O)(OC)OC,[CH3]-[O]-[P](=[O])(-[O]-[CH3])-[O]-[CH3]_0_0,0e639a189265fa49bcc2c711,C3H9O4P,1,140.075,1.0337,44.76,0,4,3,0,0,0,1,8,0,4,48.3593816196,82.4369951609,3.79100981259,5.97463394836,3.41563510141,8.11,3.1982710523,0
10,Hexamethylenetetramine,C1N2CN3CN1CN(C2)C3,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,C6H12N4,True,VKYKSIONXSXAKP-UHFFFAOYSA-N,VKYKSIONXSXAKP-UHFFFAOYSA-N,C1N2CN3CN1CN(C2)C3,[CH2]1-[N]2-[CH2]-[N]3-[CH2]-[N]-1-[CH2]-[N](-[CH2]-2)-[CH2]-3_0_0,f04a2112b0e3021f58f129ea,C6H12N4,1,140.19,-1.0198,12.96,0,4,0,4,0,4,1,10,0,4,60.58580282,101.297480983,1.8973665961,6.03149506912,3.7947331922,5.48524744339,1.7072404432,0
