method_id,knot,time_min,flow_ml_min,percent_b
M01,0,0,0.2,5
M01,1,1,0.2,5
M01,2,2,0.2,40
M01,3,6,0.2,100
M01,4,8,0.2,100
M01,5,8.1,0.2,5
M01,6,10,0.2,5
M02,0,0,0.3,0
M02,1,2,0.3,0
M02,2,10,0.3,100
M02,3,12,0.3,100
M02,4,12.1,0.3,0
M02,5,15,0.3,0
M03,0,0,0.2,1
M03,1,1,0.2,1
M03,2,3,0.2,39
M03,3,14,0.4,99
M03,4,16,0.48,99
M03,5,16.1,0.2,1
M03,6,21,0.2,1
M04,0,0,0.2,1
M04,1,1,0.2,1
M04,2,3,0.2,39
M04,3,14,0.4,99
M04,4,16,0.48,99
M04,5,16.1,0.2,1
M04,6,21,0.2,1
M05,0,0,0.2,1
M05,1,1,0.2,1
M05,2,3,0.2,39
M05,3,14,0.4,99
M05,4,16,0.48,99
M05,5,16.1,0.2,1
M05,6,21,0.2,1
M06,0,0,0.2,0
M06,1,2,0.2,0
M06,2,4,0.2,40
M06,3,15,0.2,100
M06,4,18,0.2,100
M06,5,18.1,0.2,0
M06,6,21,0.2,0
M07,0,0,0.2,1
M07,1,1,0.2,1
M07,2,5,0.2,39
M07,3,21,0.4,99
M07,4,25,0.48,99
M07,5,25.1,0.2,1
M07,6,30,0.2,1
M08,0,0,0.3,0
M08,1,2,0.3,0
M08,2,24,0.3,100
M08,3,27,0.3,100
M08,4,27.1,0.3,0
M08,5,30,0.3,0
M09,0,0,0.3,0
M09,1,2,0.3,0
M09,2,24,0.3,100
M09,3,27,0.3,100
M09,4,27.1,0.3,0
M09,5,30,0.3,0
M10,0,0,0.2,0
M10,1,2,0.2,0
M10,2,24,0.2,100
M10,3,27,0.2,100
M10,4,27.1,0.2,0
M10,5,30,0.2,0
M11,0,0,0.2,0
M11,1,2,0.2,0
M11,2,24,0.2,100
M11,3,27,0.2,100
M11,4,27.1,0.2,0
M11,5,30,0.2,0
M12,0,0,0.3,0
M12,1,2,0.3,0
M12,2,38,0.3,100
M12,3,42,0.3,100
M12,4,42.1,0.3,0
M12,5,45,0.3,0
M13,0,0,0.2,1
M13,1,1,0.2,1
M13,2,12,0.2,40
M13,3,40,0.2,100
M13,4,49,0.2,100
M13,5,50,0.2,1
M13,6,60,0.2,1
M14,0,0,0.2,1
M14,1,1,0.2,1
M14,2,12,0.2,40
M14,3,40,0.2,100
M14,4,49,0.2,100
M14,5,50,0.2,1
M14,6,60,0.2,1
M15,0,0,1,5
M15,1,1,1,5
M15,2,12,1,40
M15,3,40,1,100
M15,4,49,1,100
M15,5,50,1,5
M15,6,60,1,5
M16,0,0,0.2,1
M16,1,2,0.2,1
M16,2,40,0.2,40
M16,3,70,0.2,100
M16,4,89,0.2,100
M16,5,90,0.2,1
M16,6,100,0.2,1
M17,0,0,0.3,12
M17,1,8,0.3,95
M17,2,9,0.3,100
M17,3,11,0.3,100
M17,4,11.1,0.3,12
M17,5,14,0.3,12
M18,0,0,0.2,1
M18,1,1,0.2,1
M18,2,3,0.2,39
M18,3,14,0.4,99
M18,4,16,0.48,99
M18,5,16.1,0.2,1
M18,6,21,0.2,1
M19,0,0,0.2,1
M19,1,1,0.2,1
M19,2,3,0.2,39
M19,3,14,0.4,99
M19,4,16,0.48,99
M19,5,16.1,0.2,1
M19,6,21,0.2,1
M20,0,0,0.5,2
M20,1,2,0.5,2
M20,2,15,0.5,99
M20,3,17,0.5,99
M20,4,18,0.5,2
M20,5,20,0.5,2
M21,0,0,0.2,1
M21,1,1,0.2,1
M21,2,3,0.2,39
M21,3,14,0.4,99
M21,4,16,0.48,99
M21,5,16.1,0.2,1
M21,6,21,0.2,1
M22,0,0,0.2,5
M22,1,2,0.2,5
M22,2,10,0.2,40
M22,3,35,0.2,100
M22,4,39,0.2,100
M22,5,40,0.2,5
M22,6,45,0.2,5
M23,0,0,0.2,5
M23,1,2,0.2,5
M23,2,10,0.2,40
M23,3,35,0.2,100
M23,4,39,0.2,100
M23,5,40,0.2,5
M23,6,45,0.2,5
M24,0,0,1,5
M24,1,2,1,5
M24,2,10,1,40
M24,3,35,1,100
M24,4,39,1,100
M24,5,40,1,5
M24,6,45,1,5
M25,0,0,0.2,5
M25,1,1,0.2,5
M25,2,7,0.2,40
M25,3,14,0.2,100
M25,4,18,0.2,100
M25,5,18.1,0.2,5
M25,6,20,0.2,5
M26,0,0,0.2,5
M26,1,1,0.2,5
M26,2,7,0.2,40
M26,3,14,0.2,100
M26,4,18,0.2,100
M26,5,18.1,0.2,5
M26,6,20,0.2,5
M27,0,0,0.2,5
M27,1,2,0.2,5
M27,2,6,0.2,40
M27,3,20,0.2,100
M27,4,25,0.2,100
M27,5,26,0.2,5
M27,6,30,0.2,5
M28,0,0,0.2,5
M28,1,2,0.2,5
M28,2,6,0.2,40
M28,3,20,0.2,100
M28,4,25,0.2,100
M28,5,26,0.2,5
M28,6,30,0.2,5
M29,0,0,1,5
M29,1,2,1,5
M29,2,6,1,40
M29,3,20,1,100
M29,4,25,1,100
M29,5,26,1,5
M29,6,30,1,5
M30,0,0,0.2,1
M30,1,1,0.2,1
M30,2,3,0.2,39
M30,3,14,0.4,99
M30,4,16,0.48,99
M30,5,16.1,0.2,1
M30,6,21,0.2,1
