method_id,column_name,column_length_mm,column_id_mm,particle_um,column_temperature_c,sample_temperature_c,run_time_min,gradient_knot_count,phase_A_water_fraction,phase_A_meoh_fraction,phase_A_acn_fraction,phase_A_formic_acid_percent,phase_A_ammonium_formate_mm,phase_A_ammonium_acetate_mm,phase_B_water_fraction,phase_B_meoh_fraction,phase_B_acn_fraction,phase_B_formic_acid_percent,phase_B_ammonium_formate_mm,phase_B_ammonium_acetate_mm,knot_0_time_min,knot_0_flow_ml_min,knot_0_percent_b,knot_0_water_fraction,knot_0_meoh_fraction,knot_0_acn_fraction,knot_1_time_min,knot_1_flow_ml_min,knot_1_percent_b,knot_1_water_fraction,knot_1_meoh_fraction,knot_1_acn_fraction,knot_2_time_min,knot_2_flow_ml_min,knot_2_percent_b,knot_2_water_fraction,knot_2_meoh_fraction,knot_2_acn_fraction,knot_3_time_min,knot_3_flow_ml_min,knot_3_percent_b,knot_3_water_fraction,knot_3_meoh_fraction,knot_3_acn_fraction,knot_4_time_min,knot_4_flow_ml_min,knot_4_percent_b,knot_4_water_fraction,knot_4_meoh_fraction,knot_4_acn_fraction,knot_5_time_min,knot_5_flow_ml_min,knot_5_percent_b,knot_5_water_fraction,knot_5_meoh_fraction,knot_5_acn_fraction,knot_6_time_min,knot_6_flow_ml_min,knot_6_percent_b,knot_6_water_fraction,knot_6_meoh_fraction,knot_6_acn_fraction,source_file,column_dimensions_raw,mobile_phase_a_raw,mobile_phase_b_raw
M01,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,10,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,5,0.855,0.145,0,1,0.2,5,0.855,0.145,0,2,0.2,40,0.54,0.46,0,6,0.2,100,0,1,0,8,0.2,100,0,1,0,8.1,0.2,5,0.855,0.145,0,10,0.2,5,0.855,0.145,0,Dataset 01.xlsx,"100 x 2.1 mm, 1.8 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M02,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,15,6,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.3,0,0.9,0.1,0,2,0.3,0,0.9,0.1,0,10,0.3,100,0,1,0,12,0.3,100,0,1,0,12.1,0.3,0,0.9,0.1,0,15,0.3,0,0.9,0.1,0,15,0.3,0,0.9,0.1,0,Dataset 02.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M03,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,21,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,3,0.2,39,0.549,0.451,0,14,0.4,99,0.009,0.991,0,16,0.48,99,0.009,0.991,0,16.1,0.2,1,0.891,0.109,0,21,0.2,1,0.891,0.109,0,Dataset 03.xlsx,"100x2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M04,Thermo Hypersil GOLD,100,2.1,1.9,30,4,21,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,3,0.2,39,0.549,0.451,0,14,0.4,99,0.009,0.991,0,16,0.48,99,0.009,0.991,0,16.1,0.2,1,0.891,0.109,0,21,0.2,1,0.891,0.109,0,Dataset 04.xlsx,"100 x 2.1 mm, 1.9 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M05,ACQUITY BEH C18,100,2.1,1.7,40,10,21,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,3,0.2,39,0.549,0.451,0,14,0.4,99,0.009,0.991,0,16,0.48,99,0.009,0.991,0,16.1,0.2,1,0.891,0.109,0,21,0.2,1,0.891,0.109,0,Dataset 05.xlsx,"100 x 2.1 mm, 1.7 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M06,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,21,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,0,0.9,0.1,0,2,0.2,0,0.9,0.1,0,4,0.2,40,0.54,0.46,0,15,0.2,100,0,1,0,18,0.2,100,0,1,0,18.1,0.2,0,0.9,0.1,0,21,0.2,0,0.9,0.1,0,Dataset 06.xlsx,"100 x 2.1 mm, 1.8 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M07,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,30,7,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,5,0.2,39,0.549,0.451,0,21,0.4,99,0.009,0.991,0,25,0.48,99,0.009,0.991,0,25.1,0.2,1,0.891,0.109,0,30,0.2,1,0.891,0.109,0,Dataset 07.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M08,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,30,6,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.3,0,0.9,0.1,0,2,0.3,0,0.9,0.1,0,24,0.3,100,0,1,0,27,0.3,100,0,1,0,27.1,0.3,0,0.9,0.1,0,30,0.3,0,0.9,0.1,0,30,0.3,0,0.9,0.1,0,Dataset 08.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M09,Thermo Hypersil GOLD,100,2.1,1.9,30,4,30,6,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.3,0,0.9,0.1,0,2,0.3,0,0.9,0.1,0,24,0.3,100,0,1,0,27,0.3,100,0,1,0,27.1,0.3,0,0.9,0.1,0,30,0.3,0,0.9,0.1,0,30,0.3,0,0.9,0.1,0,Dataset 09.xlsx,"100 x 2.1 mm, 1.9 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
M10,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,30,6,0.9,0.1,0,0.01,5,0,0,1,0,0.01,5,0,0,0.2,0,0.9,0.1,0,2,0.2,0,0.9,0.1,0,24,0.2,100,0,1,0,27,0.2,100,0,1,0,27.1,0.2,0,0.9,0.1,0,30,0.2,0,0.9,0.1,0,30,0.2,0,0.9,0.1,0,Dataset 10.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 0.01% formic acid and 5 mM ammonium formate",Methanol with 0.01% formic acid and 5 mM ammonium formate
