compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
1,M01,1.27,0.0079,0,Dataset 01.xlsx,2
1,M02,0.92,0.0232,0,Dataset 02.xlsx,2
1,M03,1.36,0.003,0,Dataset 03.xlsx,2
1,M04,1.38,0.019,0,Dataset 04.xlsx,2
1,M05,1.31,0,0,Dataset 05.xlsx,2
1,M06,1.4,0,0,Dataset 06.xlsx,2
1,M07,1.37,0.0103,0,Dataset 07.xlsx,2
1,M08,0.91,0.0072,0,Dataset 08.xlsx,2
1,M09,0.93,0.0188,0,Dataset 09.xlsx,2
1,M10,1.35,0.0035,0,Dataset 10.xlsx,2
1,M11,1.33,0.0053,0,Dataset 11.xlsx,2
1,M12,0.94,0.0061,0,Dataset 12.xlsx,2
1,M13,1.27,0.0063,0,Dataset 13.xlsx,2
1,M14,0.75,0.0075,0,Dataset 14.xlsx,2
1,M15,1.6,0.0221,0,Dataset 15.xlsx,2
1,M16,1.25,0.0095,0,Dataset 16.xlsx,2
1,M17,0.92,0.0107,0,Dataset 17.xlsx,2
1,M18,1.44,0.0246,0,Dataset 18.xlsx,2
1,M19,1.37,0.0042,0,Dataset 19.xlsx,2
1,M20,0.63,0.0194,0,Dataset 20.xlsx,2
1,M21,1.41,0.005,0,Dataset 21.xlsx,2
1,M22,1.21,0.0043,0,Dataset 22.xlsx,2
1,M23,0.75,0.0094,0,Dataset 23.xlsx,2
1,M24,1.56,0.0194,0,Dataset 24.xlsx,2
1,M25,1.3,0.0068,0,Dataset 25.xlsx,2
1,M26,0.78,0.0059,0,Dataset 26.xlsx,2
1,M27,1.29,0.0152,0,Dataset 27.xlsx,2
1,M28,0.78,0.0106,0,Dataset 28.xlsx,2
1,M29,1.67,0.0197,0,Dataset 29.xlsx,2
1,M30,1.35,0.0197,0,Dataset 30.xlsx,2
2,M01,1.41,0.005,0.11,Dataset 01.xlsx,3
2,M02,1.03,0.0049,0.13,Dataset 02.xlsx,3
2,M03,1.57,0.0096,0.15,Dataset 03.xlsx,3
2,M04,1.44,0.0057,0.04,Dataset 04.xlsx,3
2,M05,1.32,0.0107,0.01,Dataset 05.xlsx,3
2,M06,1.66,0.0185,0.19,Dataset 06.xlsx,3
2,M07,1.58,0.0045,0.15,Dataset 07.xlsx,3
2,M08,1.05,0.0065,0.15,Dataset 08.xlsx,3
2,M09,0.98,0,0.05,Dataset 09.xlsx,3
2,M10,1.55,0.0112,0.15,Dataset 10.xlsx,3
2,M11,1.6,0,0.2,Dataset 11.xlsx,3
2,M12,1.13,0.0072,0.2,Dataset 12.xlsx,3
2,M13,1.45,0,0.14,Dataset 13.xlsx,3
2,M14,0.82,0.026,0.09,Dataset 14.xlsx,3
2,M15,2.01,0,0.26,Dataset 15.xlsx,3
2,M16,1.43,0.0036,0.14,Dataset 16.xlsx,3
2,M17,0.96,0.0215,0.04,Dataset 17.xlsx,3
2,M18,1.63,0,0.13,Dataset 18.xlsx,3
2,M19,1.55,0.0134,0.14,Dataset 19.xlsx,3
2,M20,0.87,0,0.39,Dataset 20.xlsx,3
2,M21,1.63,0.0087,0.16,Dataset 21.xlsx,3
2,M22,1.62,0.0123,0.34,Dataset 22.xlsx,3
