compound_id,compound_group,partition,cv_fold
1,63590c74120e85ecd05c0c08,development,0
2,73c4545b8949e668c76a03b2,development,0
3,c7bcada0b8e888971aefc4c3,development,0
4,91876cd96b4863b74f62ede1,development,4
5,f388de2f1532bd2d15000e9e,development,1
6,903e67b4c2f9750d37336ae2,development,2
7,6916f867df709593d53ac483,holdout,-1
8,d8974ef08904a88379044d8b,development,1
9,0e639a189265fa49bcc2c711,holdout,-1
10,f04a2112b0e3021f58f129ea,holdout,-1
11,12805aa78d477c60ff4c9911,holdout,-1
12,f924f42d31e9b2b1918efd30,development,1
13,cf7268b4f8767d681615d5ad,development,1
14,37db2b79f652ee6c5f897d99,development,3
15,dc48fc379a6c61beca713ed3,development,3
16,6983229a0e0fe5fb5d401dcc,development,4
17,e23aae84b93938a0352fa862,development,0
18,b4fed703cda493a4827fa37b,development,0
19,ac149acd23b05351f726234b,development,1
20,2e969e332007bc99ca627155,development,4
21,f3235c534d97f6bc0f007674,development,4
22,f18cafc9fe5d3c8c43fb5f40,holdout,-1
23,8742336b8c952dfbe6485e45,development,4
24,e7732197de6d851c1ed1bd48,development,4
25,a36f54566b3e72a686c53426,development,2
26,27c58396e87680d42d13063f,development,1
27,76c4529644e0b71c67b057ff,development,0
28,8efe873c7ea952bb6b580341,development,1
29,e863ae07267316f831b4c0a3,development,0
30,b9392f6f4c6d048d44b0a444,holdout,-1
31,87bd4c8586b4b78f83e43895,development,0
32,1db51764879da07a9a804f89,development,3
33,267de3c8ac980a5b10b9c703,development,2
34,3577ec1a80f55e1baa422693,development,4
35,81b5b6388a6be51a7a64d27f,development,2
36,60c9020481a65233be949416,holdout,-1
37,7e22cb18273d1125b6e9f516,development,4
38,025d82d93173ecb6ae20cb79,development,4
39,32b4a6a7cbc6bc4e42d3e216,development,2
40,be488e74b9d5fd8fc60a7d96,development,2
41,6ac21347055592346af2da3c,holdout,-1
42,f1ade222212d6fb05f2db5bc,development,4
43,7f4d6eb0a9092987a5326f08,development,3
44,65c9c71adb0caffb8e14eb12,holdout,-1
45,5972a1e082e61d9bdf0a2a0b,holdout,-1
46,48a128edcc71ac31928f1701,holdout,-1
47,56fa096b85beceab80fd1c4e,development,4
48,abc7a286c25bfc8ab683f22c,development,1
49,dddb83856cd5a1813573467f,development,0
50,efb9d8ba36a7795e51cebaf2,holdout,-1
51,8462267483bc8dc0c5eb0740,development,0
52,f6d2fa1644935d0595348077,holdout,-1
53,de76339ba27df16100871511,development,0
54,1fbd74bab3e102b26979a15d,development,3
55,d9401cbf16b2cebc83fd68dc,development,2
56,780c412e404e2d3c20298ba1,development,3
57,7b782a00d24f8ce3c9b9fbce,development,2
58,4b6408684e7ec1b4fb4f8f15,development,3
59,04a0361057ad06d2bb92ffcf,holdout,-1
60,6a754101c77952c9f22727f1,development,4
61,b727aabe5a35f85d668e9b3f,development,3
62,89c9471922cfd2004d5406f1,holdout,-1
63,35a15bff1177570ab88c7499,development,1
64,c3b90fd4a89a77a5983e2420,holdout,-1
65,d03f670f1f126e5f040b4224,development,1
66,6337f9636fede46bcc35391b,development,3
67,9699e16c8071621d55aa20c2,development,0
68,37927413d1b2c33fd4f48fe4,development,1
69,80a0d3bab064158ae690ad6a,development,3
70,6edd2232ed1ec668311aa339,development,1
71,577bf2cb81f94acf50f2db0f,development,0
72,199be8c56e73e5eb81a7e6f0,development,4
73,e7d3343ab01cc92f9746bd90,development,1
74,685253186b7c8d8473d65ffa,development,2
75,1fcbc4f3ec49fb735c0f7d56,development,3
76,1879f3c5daf4cf8a36454c58,development,0
77,047b8df66ebc85fef8294a83,development,3
78,cdebdfe424c1e2de4b6e80f5,development,3
79,c4ac567011a027981340b36b,development,4
80,3f3242254ca882caa3780cd4,development,3
81,8f5373ae3303e9a701bc0449,development,2
