compound_id,compound_group,window,selected_method,selected_measured_rt_min,top1_hit,top3_hit,feasible,excess_distance_min
1,63590c74120e85ecd05c0c08,2-5,M17,0.92,False,False,False,0.75
1,63590c74120e85ecd05c0c08,5-10,M01,1.27,False,False,False,0.3999999999999999
1,63590c74120e85ecd05c0c08,10-20,M25,1.3,False,False,False,0.3699999999999992
1,63590c74120e85ecd05c0c08,20-40,M12,0.94,False,False,False,0.7300000000000004
2,73c4545b8949e668c76a03b2,2-5,M17,0.96,False,False,True,1.04
2,73c4545b8949e668c76a03b2,5-10,M01,1.41,False,False,False,0.7599999999999998
2,73c4545b8949e668c76a03b2,10-20,M25,1.44,False,False,False,0.7300000000000004
2,73c4545b8949e668c76a03b2,20-40,M12,1.13,False,False,False,1.0400000000000027
3,c7bcada0b8e888971aefc4c3,2-5,M17,0.96,False,False,False,1.01
3,c7bcada0b8e888971aefc4c3,5-10,M01,1.4,False,False,False,0.5699999999999998
3,c7bcada0b8e888971aefc4c3,10-20,M25,1.3,False,False,False,0.6699999999999999
3,c7bcada0b8e888971aefc4c3,20-40,M12,0.93,False,False,False,1.0399999999999991
17,e23aae84b93938a0352fa862,2-5,M17,2.08,True,True,True,0.0
17,e23aae84b93938a0352fa862,5-10,M01,4.13,False,False,True,0.8700000000000001
17,e23aae84b93938a0352fa862,10-20,M25,6.67,False,False,False,0.6500000000000004
17,e23aae84b93938a0352fa862,20-40,M12,4.81,False,False,False,2.5100000000000016
18,b4fed703cda493a4827fa37b,2-5,M17,5.12,False,False,False,0.0
18,b4fed703cda493a4827fa37b,5-10,M01,5.92,True,True,True,0.0
18,b4fed703cda493a4827fa37b,10-20,M25,11.62,True,True,True,0.0
18,b4fed703cda493a4827fa37b,20-40,M12,15.64,False,False,True,4.359999999999999
29,e863ae07267316f831b4c0a3,2-5,M17,5.63,False,False,False,0.0
29,e863ae07267316f831b4c0a3,5-10,M01,6.27,True,True,True,0.0
29,e863ae07267316f831b4c0a3,10-20,M25,12.36,True,True,True,0.0
29,e863ae07267316f831b4c0a3,20-40,M12,18.26,False,False,True,1.7399999999999984
31,87bd4c8586b4b78f83e43895,2-5,M17,3.87,True,True,True,0.0
31,87bd4c8586b4b78f83e43895,5-10,M01,5.14,True,True,True,0.0
31,87bd4c8586b4b78f83e43895,10-20,M25,8.81,False,False,True,1.1899999999999995
