method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,1.3615168539325841,1.7994340298314233,1.0700000000000003,2.6200000000000006,1.365169172932331
M02,267,266,1.9548127340823969,2.6718949040479036,1.424999999999999,3.929000000000001,1.960657894736842
M03,267,266,2.866928838951311,3.415161996256423,2.59,5.095999999999999,2.875131578947369
M04,267,266,2.6702247191011232,3.171657785545949,2.459999999999999,4.808,2.678139097744361
M05,267,266,2.800973782771536,3.3091233549502435,2.670000000000001,5.09,2.8098120300751876
M06,267,266,3.406685393258427,4.114338668352743,3.0,6.144,3.416184210526316
M07,267,266,4.316198501872659,5.12460089795253,3.9399999999999995,7.984000000000001,4.328759398496241
M08,267,266,5.176554307116105,6.474640359916695,4.199999999999999,10.116,5.192424812030076
M09,267,266,5.099887640449438,6.3553157142438925,4.119999999999999,9.958,5.115075187969924
M10,267,266,5.175917602996254,6.585866520642166,4.110000000000003,10.286000000000001,5.191578947368421
M11,267,266,5.24432584269663,6.618571356248478,4.224999999999998,10.536000000000001,5.261165413533834
M12,267,266,8.430280898876404,10.272870014427971,7.099999999999998,16.516,8.455996240601504
M13,267,266,9.035280898876405,10.648384273703192,8.13,17.208000000000002,9.06110902255639
M14,267,266,8.718689138576778,10.21248048604758,8.120000000000001,16.52,8.743533834586469
M15,267,266,9.124700374531836,10.740114603863399,8.519999999999998,17.076,9.15137218045113
M16,267,266,16.254213483146067,21.210822786425652,11.71,37.550000000000004,16.3053007518797
M17,267,266,1.979868913857678,2.473782131414944,1.549999999999999,4.013,1.986484962406015
M18,267,266,2.619681647940075,3.1564074746564987,2.34,4.594,2.6275939849624064
M19,267,266,2.59376404494382,3.2314618362671306,2.0949999999999998,5.522,2.6017669172932334
M20,263,262,2.913973384030418,3.591082838165996,2.67,5.627000000000001,2.922958015267176
M21,263,262,2.2783840304182505,2.8613396414487804,1.9000000000000004,4.99,2.2857442748091605
M22,263,262,7.058707224334601,8.683393442255383,6.020000000000001,14.190000000000001,7.080992366412214
M23,263,262,6.3538973384030415,8.053920962532624,5.220000000000001,12.546000000000001,6.373893129770993
M24,263,262,7.289125475285171,8.789158807731745,6.48,14.338000000000001,7.31223282442748
M25,273,272,2.67032967032967,3.8008608047576353,1.7200000000000006,6.78,2.6782720588235294
M26,273,272,2.8204578754578757,3.9485101632334074,1.8600000000000012,7.398,2.829466911764706
M27,273,272,4.267472527472528,5.3235887397128145,3.59,8.562,4.28029411764706
M28,273,272,4.243168498168498,5.198778412090862,3.710000000000001,8.278,4.256305147058824
M29,273,272,4.202985347985348,5.220174437108989,3.4700000000000024,8.496,4.215110294117647
M30,273,272,2.8698717948717944,3.464053066090161,2.500000000000001,5.456,2.878161764705882
