compound_id,compound_group,window,selected_method,selected_measured_rt_min,top1_hit,top3_hit,feasible,excess_distance_min
1,63590c74120e85ecd05c0c08,2-5,M17,0.92,False,False,False,0.75
1,63590c74120e85ecd05c0c08,5-10,M19,1.37,False,False,False,0.2999999999999998
1,63590c74120e85ecd05c0c08,10-20,M29,1.67,False,False,False,0.0
1,63590c74120e85ecd05c0c08,20-40,M12,0.94,False,False,False,0.7300000000000004
2,73c4545b8949e668c76a03b2,2-5,M17,0.96,False,False,True,1.04
2,73c4545b8949e668c76a03b2,5-10,M19,1.55,False,False,False,0.6200000000000001
2,73c4545b8949e668c76a03b2,10-20,M29,2.17,False,False,False,0.0
2,73c4545b8949e668c76a03b2,20-40,M12,1.13,False,False,False,1.0400000000000027
3,c7bcada0b8e888971aefc4c3,2-5,M17,0.96,False,False,False,1.01
3,c7bcada0b8e888971aefc4c3,5-10,M19,1.41,False,False,False,0.5599999999999996
3,c7bcada0b8e888971aefc4c3,10-20,M29,1.66,False,False,False,0.3100000000000005
3,c7bcada0b8e888971aefc4c3,20-40,M12,0.93,False,False,False,1.0399999999999991
4,91876cd96b4863b74f62ede1,2-5,M17,3.5,True,True,True,0.0
4,91876cd96b4863b74f62ede1,5-10,M19,4.89,False,True,True,0.11000000000000032
4,91876cd96b4863b74f62ede1,10-20,M22,8.49,False,False,True,1.5099999999999998
4,91876cd96b4863b74f62ede1,20-40,M12,9.36,False,False,False,6.41
5,f388de2f1532bd2d15000e9e,2-5,M17,1.21,False,True,True,0.79
5,f388de2f1532bd2d15000e9e,5-10,M19,2.13,False,False,False,0.45999999999999996
5,f388de2f1532bd2d15000e9e,10-20,M29,2.58,False,False,False,0.009999999999999787
5,f388de2f1532bd2d15000e9e,20-40,M12,1.43,False,False,False,1.1600000000000001
6,903e67b4c2f9750d37336ae2,2-5,M17,0.9,False,False,True,1.1
6,903e67b4c2f9750d37336ae2,5-10,M01,1.36,False,False,False,1.13
6,903e67b4c2f9750d37336ae2,10-20,M22,1.27,False,False,False,1.2200000000000006
6,903e67b4c2f9750d37336ae2,20-40,M12,0.92,False,False,False,1.5700000000000003
8,d8974ef08904a88379044d8b,2-5,M17,5.37,False,False,False,0.0
8,d8974ef08904a88379044d8b,5-10,M19,6.26,True,True,True,0.0
8,d8974ef08904a88379044d8b,10-20,M29,12.38,True,True,True,0.0
8,d8974ef08904a88379044d8b,20-40,M12,16.87,False,False,True,3.129999999999999
12,f924f42d31e9b2b1918efd30,2-5,M17,1.82,False,True,True,0.17999999999999994
12,f924f42d31e9b2b1918efd30,5-10,M19,4.18,False,False,True,0.8200000000000003
12,f924f42d31e9b2b1918efd30,10-20,M29,6.37,False,False,False,0.019999999999999574
12,f924f42d31e9b2b1918efd30,20-40,M12,3.21,False,False,False,3.1799999999999997
13,cf7268b4f8767d681615d5ad,2-5,M17,0.9,False,False,False,0.78
13,cf7268b4f8767d681615d5ad,5-10,M19,1.28,False,False,False,0.39999999999999947
13,cf7268b4f8767d681615d5ad,10-20,M29,1.64,False,False,False,0.03999999999999915
13,cf7268b4f8767d681615d5ad,20-40,M12,0.85,False,False,False,0.8299999999999983
14,37db2b79f652ee6c5f897d99,2-5,M21,4.51,True,True,True,0.0
14,37db2b79f652ee6c5f897d99,5-10,M19,4.44,False,False,True,0.5599999999999996
14,37db2b79f652ee6c5f897d99,10-20,M28,5.76,False,False,False,2.5600000000000005
14,37db2b79f652ee6c5f897d99,20-40,M12,5.62,False,False,False,2.6999999999999993
15,dc48fc379a6c61beca713ed3,2-5,M21,1.54,False,False,True,0.45999999999999996
15,dc48fc379a6c61beca713ed3,5-10,M19,2.24,False,False,True,2.76
15,dc48fc379a6c61beca713ed3,10-20,M28,2.59,False,False,False,2.83
15,dc48fc379a6c61beca713ed3,20-40,M12,1.67,False,False,False,3.7499999999999982
16,6983229a0e0fe5fb5d401dcc,2-5,M17,3.58,True,True,True,0.0
16,6983229a0e0fe5fb5d401dcc,5-10,M19,5.07,True,True,True,0.0
16,6983229a0e0fe5fb5d401dcc,10-20,M22,9.38,False,False,True,0.6199999999999992
16,6983229a0e0fe5fb5d401dcc,20-40,M12,9.7,False,False,False,7.34
17,e23aae84b93938a0352fa862,2-5,M17,2.08,True,True,True,0.0
17,e23aae84b93938a0352fa862,5-10,M19,4.45,False,False,True,0.5499999999999998
17,e23aae84b93938a0352fa862,10-20,M29,7.06,False,False,False,0.2600000000000007
17,e23aae84b93938a0352fa862,20-40,M12,4.81,False,False,False,2.5100000000000016
18,b4fed703cda493a4827fa37b,2-5,M17,5.12,False,False,False,0.0
18,b4fed703cda493a4827fa37b,5-10,M19,5.56,True,True,True,0.0
18,b4fed703cda493a4827fa37b,10-20,M29,11.46,True,True,True,0.0
18,b4fed703cda493a4827fa37b,20-40,M12,15.64,False,False,True,4.359999999999999
19,ac149acd23b05351f726234b,2-5,M17,1.78,False,True,True,0.21999999999999997
19,ac149acd23b05351f726234b,5-10,M19,3.79,False,False,True,1.21
19,ac149acd23b05351f726234b,10-20,M29,6.06,False,False,False,0.0
19,ac149acd23b05351f726234b,20-40,M12,2.79,False,False,False,3.2699999999999996
20,2e969e332007bc99ca627155,2-5,M17,0.92,False,False,True,1.08
20,2e969e332007bc99ca627155,5-10,M19,1.39,False,False,True,3.6100000000000003
20,2e969e332007bc99ca627155,10-20,M22,1.27,False,False,False,4.61
20,2e969e332007bc99ca627155,20-40,M12,0.93,False,False,False,4.949999999999999
21,f3235c534d97f6bc0f007674,2-5,M17,7.33,False,False,False,0.0
21,f3235c534d97f6bc0f007674,5-10,M19,8.69,True,True,True,0.0
21,f3235c534d97f6bc0f007674,10-20,M22,19.09,True,True,True,0.0
21,f3235c534d97f6bc0f007674,20-40,M12,25.84,True,True,True,0.0
23,8742336b8c952dfbe6485e45,2-5,M17,6.41,False,False,False,0.0
23,8742336b8c952dfbe6485e45,5-10,M19,7.26,True,True,True,0.0
23,8742336b8c952dfbe6485e45,10-20,M22,15.98,True,True,True,0.0
23,8742336b8c952dfbe6485e45,20-40,M12,21.59,True,True,True,0.0
25,a36f54566b3e72a686c53426,2-5,M17,0.9,False,False,True,1.1
25,a36f54566b3e72a686c53426,5-10,M01,1.27,False,False,False,3.7100000000000004
25,a36f54566b3e72a686c53426,10-20,M22,1.23,False,False,False,3.75
25,a36f54566b3e72a686c53426,20-40,M12,0.9,False,False,False,4.080000000000002
26,27c58396e87680d42d13063f,2-5,M17,3.25,True,True,True,0.0
26,27c58396e87680d42d13063f,5-10,M19,5.33,True,True,True,0.0
26,27c58396e87680d42d13063f,10-20,M29,12.16,True,True,True,0.0
26,27c58396e87680d42d13063f,20-40,M12,14.43,False,False,True,5.57
28,8efe873c7ea952bb6b580341,2-5,M17,4.31,True,True,True,0.0
28,8efe873c7ea952bb6b580341,5-10,M19,5.31,True,True,True,0.0
28,8efe873c7ea952bb6b580341,10-20,M29,10.34,True,True,True,0.0
28,8efe873c7ea952bb6b580341,20-40,M12,13.51,False,False,True,6.49
29,e863ae07267316f831b4c0a3,2-5,M17,5.63,False,False,False,0.0
29,e863ae07267316f831b4c0a3,5-10,M19,6.5,True,True,True,0.0
29,e863ae07267316f831b4c0a3,10-20,M29,12.75,True,True,True,0.0
29,e863ae07267316f831b4c0a3,20-40,M12,18.26,False,False,True,1.7399999999999984
31,87bd4c8586b4b78f83e43895,2-5,M17,3.87,True,True,True,0.0
31,87bd4c8586b4b78f83e43895,5-10,M19,5.01,True,True,True,0.0
31,87bd4c8586b4b78f83e43895,10-20,M29,9.51,False,False,True,0.4900000000000002
31,87bd4c8586b4b78f83e43895,20-40,M12,9.09,False,False,False,3.42
32,1db51764879da07a9a804f89,2-5,M21,4.45,True,True,True,0.0
32,1db51764879da07a9a804f89,5-10,M19,4.23,False,False,True,0.7699999999999996
32,1db51764879da07a9a804f89,10-20,M28,0.85,False,False,False,6.130000000000001
32,1db51764879da07a9a804f89,20-40,M12,3.0,False,False,False,3.9800000000000004
33,267de3c8ac980a5b10b9c703,2-5,M17,0.94,False,True,True,1.06
33,267de3c8ac980a5b10b9c703,5-10,M01,1.74,False,False,False,2.1799999999999997
33,267de3c8ac980a5b10b9c703,10-20,M22,1.75,False,False,False,2.17
33,267de3c8ac980a5b10b9c703,20-40,M12,1.33,False,False,False,2.5900000000000034
34,3577ec1a80f55e1baa422693,2-5,M17,5.56,False,False,False,0.0
34,3577ec1a80f55e1baa422693,5-10,M19,6.43,True,True,True,0.0
34,3577ec1a80f55e1baa422693,10-20,M22,13.42,True,True,True,0.0
34,3577ec1a80f55e1baa422693,20-40,M12,17.81,False,False,True,2.1900000000000013
35,81b5b6388a6be51a7a64d27f,2-5,M17,8.28,False,False,False,0.09999999999999964
35,81b5b6388a6be51a7a64d27f,5-10,M01,8.18,True,True,True,0.0
35,81b5b6388a6be51a7a64d27f,10-20,M22,24.68,False,True,True,4.68
35,81b5b6388a6be51a7a64d27f,20-40,M12,30.42,True,True,True,0.0
37,7e22cb18273d1125b6e9f516,2-5,M17,1.83,False,True,True,0.16999999999999993
37,7e22cb18273d1125b6e9f516,5-10,M19,4.17,False,False,True,0.8300000000000001
37,7e22cb18273d1125b6e9f516,10-20,M22,5.28,False,False,False,0.45999999999999996
37,7e22cb18273d1125b6e9f516,20-40,M12,3.48,False,False,False,2.26
39,32b4a6a7cbc6bc4e42d3e216,2-5,M17,5.66,False,False,False,0.0
39,32b4a6a7cbc6bc4e42d3e216,5-10,M01,6.22,True,True,True,0.0
39,32b4a6a7cbc6bc4e42d3e216,10-20,M22,13.09,True,True,True,0.0
39,32b4a6a7cbc6bc4e42d3e216,20-40,M12,18.07,False,False,True,1.9299999999999997
40,be488e74b9d5fd8fc60a7d96,2-5,M17,3.29,True,True,True,0.0
40,be488e74b9d5fd8fc60a7d96,5-10,M01,4.65,False,False,True,0.34999999999999964
40,be488e74b9d5fd8fc60a7d96,10-20,M22,7.9,False,False,True,2.0999999999999996
40,be488e74b9d5fd8fc60a7d96,20-40,M12,9.47,False,False,False,7.26
42,f1ade222212d6fb05f2db5bc,2-5,M17,4.17,True,True,True,0.0
42,f1ade222212d6fb05f2db5bc,5-10,M19,5.16,True,True,True,0.0
42,f1ade222212d6fb05f2db5bc,10-20,M22,9.89,False,False,True,0.10999999999999943
42,f1ade222212d6fb05f2db5bc,20-40,M12,12.56,False,False,True,7.4399999999999995
43,7f4d6eb0a9092987a5326f08,2-5,M21,6.9,False,False,False,0.0
43,7f4d6eb0a9092987a5326f08,5-10,M19,7.2,True,True,True,0.0
43,7f4d6eb0a9092987a5326f08,10-20,M28,13.69,True,True,True,0.0
43,7f4d6eb0a9092987a5326f08,20-40,M12,23.91,True,True,True,0.0
47,56fa096b85beceab80fd1c4e,2-5,M17,6.99,False,False,False,0.0
47,56fa096b85beceab80fd1c4e,5-10,M19,7.81,True,True,True,0.0
47,56fa096b85beceab80fd1c4e,10-20,M22,17.17,True,True,True,0.0
47,56fa096b85beceab80fd1c4e,20-40,M12,24.22,True,True,True,0.0
48,abc7a286c25bfc8ab683f22c,2-5,M17,4.52,True,True,True,0.0
48,abc7a286c25bfc8ab683f22c,5-10,M19,5.17,True,True,True,0.0
48,abc7a286c25bfc8ab683f22c,10-20,M29,10.67,True,True,True,0.0
