method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,0.6458514606741569,0.9144559504518814,0.4820399999999925,1.4117199999999976,0.6463584210526313
M02,267,266,0.8821870155163192,1.2820744167814655,0.6044399999999985,1.8889839999999876,0.8817794479054781
M03,267,266,1.158713538077402,1.6102836089000956,0.9058399999999978,2.3718319999999986,1.1576562205513774
M04,267,266,1.0375805118601742,1.4566290752513567,0.8131600000000017,2.0979359999999945,1.0371657017543856
M05,267,266,1.0884154107365795,1.5176405251202063,0.877519999999997,2.210028799999998,1.0884157694235594
M06,267,266,1.3741337421080795,1.9334622979305371,1.0003999999999884,2.8843039999999975,1.375867026852847
M07,267,266,1.674740104868915,2.3366622965529618,1.264440000000012,3.307928000000008,1.676366947368422
M08,267,266,2.057647193508116,2.830717781236541,1.5353599999999865,4.562767999999999,2.0541209047619056
M09,267,266,1.9422683449259852,2.7005421358255948,1.4150000000000214,4.263064000000023,1.9394655943430001
M10,267,266,2.1621433158551815,2.966905965542685,1.6587599999999725,4.743431999999992,2.1568461102756893
M11,267,266,2.081568464062778,2.875743765620103,1.5454799999999835,4.599863999999966,2.0775605259577503
M12,267,266,3.217590062421976,4.480641136316816,2.4634399999999754,6.822888000000044,3.213162957393487
M13,267,266,3.4376816978776534,4.748049441594232,2.640299999999989,6.9901519999999975,3.4336586967418556
M14,267,266,3.2339608988764055,4.488620813950283,2.5071199999999685,6.180095999999995,3.2351954887218057
M15,267,266,3.4670918601747815,4.780826635430769,2.6826800000000475,7.118696000000017,3.4626448370927316
M16,267,266,6.0752152987337285,8.657739799418913,4.3738000000001165,13.403388000000051,6.08805114572145
M17,267,266,0.8086974596040662,1.1327297324139125,0.5926000000000125,1.7034319999999956,0.809916171858217
M18,267,266,1.0520537902621725,1.4671940069075649,0.7870000000000061,2.3179600000000082,1.0509717368421059
M19,267,266,1.1330238751560546,1.61660139936866,0.8218000000000067,2.2169566666666656,1.1336747919799495
M20,263,262,1.35150783994206,1.793618490670229,1.1081600000000034,2.421296000000009,1.354158480552526
M21,263,262,1.0121447148288982,1.4739917363072257,0.71896,1.9565200000000011,1.01309717557252
M22,263,262,3.1516126087271377,4.266945033495422,2.4658799999999887,6.0766639999999725,3.151898153035257
M23,263,262,2.82249517206832,3.834680014879023,2.2472399999999766,5.234680000000006,2.8261164513510235
M24,263,262,3.289671574144487,4.361620538217631,2.6272199999999906,6.300224000000005,3.288880854961832
M25,273,272,1.174842026862028,1.7118265581001537,0.8190400000000064,2.761944000000006,1.1747357107843148
M26,273,272,1.1549673260073243,1.677452539018419,0.7854800000000086,2.578799999999997,1.156410735294116
M27,273,272,1.6537769010989014,2.234761084868432,1.3952799999999907,3.383152000000016,1.6525532867647064
M28,273,272,1.5606195531135516,2.1079396118255627,1.20555999999997,3.013408000000013,1.561539477941175
M29,273,272,1.599569150532008,2.180055397488929,1.2517999999999923,3.415392000000003,1.5981822724089643
M30,273,272,1.1143213846153839,1.4830787747654477,0.8702000000000023,2.40236,1.113260654411764
