method_id,observations,compound_groups,mae_min,rmse_min,median_absolute_error_min,p90_absolute_error_min,mean_group_mae_min
M01,267,266,0.6728843516982004,0.9689516367270522,0.5035662651062012,1.4044908180236817,0.6727134846027633
M02,267,266,0.9079916884032974,1.2841279125242877,0.6012530899047857,2.029287956237793,0.9067041116728818
M03,267,266,1.1088911241895696,1.6092568823006448,0.847649078369141,2.3798848037719726,1.107932955913974
M04,267,266,0.9933981538622566,1.4627079657268678,0.7116505813598639,2.2102498703002937,0.9931589481884375
M05,267,266,1.0454321186908622,1.5190900158147176,0.7504736709594724,2.3143137969970713,1.0460114938692937
M06,267,266,1.3460338093189712,1.9270755292382247,1.0193669128417966,2.935742141723633,1.344937593775584
M07,267,266,1.6492380740312154,2.3622394667410065,1.2743503570556634,3.617701789855957,1.6479378640920597
M08,267,266,2.040841614566046,2.8484591093427336,1.4813059616088875,4.425089759826662,2.04078648622771
M09,267,266,1.9527059453971378,2.749415135492347,1.4548200988769544,4.242264640808106,1.9519977932765071
M10,267,266,2.10046475610483,2.9359825477937163,1.490874633789062,4.52834189605713,2.1001904087138357
M11,267,266,2.0687992734766185,2.885040131028993,1.4669448089599602,4.364505954742432,2.0678672453693876
M12,267,266,3.1686275991518396,4.577257878341775,2.225605621337891,6.577808975219727,3.1675232725932188
M13,267,266,3.3044694825504597,4.771900726363182,2.416047134399413,7.1353662261962905,3.3042859148441397
M14,267,266,3.109283347138751,4.539908255773178,2.358907165527344,6.367929275512696,3.1101821729025443
M15,267,266,3.324642423779777,4.788624479277945,2.5071106719970704,7.450768142700196,3.3245767797742576
M16,267,266,5.9543024507444,8.609709379972028,3.903720703125,13.043704978942872,5.958734590630782
M17,267,266,0.813631841100557,1.1756259177726782,0.5831535148620608,1.7661355285644529,0.8135789862521607
M18,267,266,1.0213576896181713,1.4892223318681657,0.7575500488281257,2.243936271667481,1.0206141985269417
M19,267,266,1.1427262109585024,1.6376956326001464,0.849087829589843,2.21741390991211,1.1454620237816544
M20,263,262,1.291515476948408,1.8224887607982287,0.9200810241699227,2.732524158477785,1.2934992999702921
M21,263,262,1.0061231424418693,1.4991452065155217,0.6751889801025399,2.0982554473876953,1.0086274292450825
M22,263,262,3.0498006916046143,4.424450447405017,2.3162839508056656,6.232343872070317,3.0559738482045766
M23,263,262,2.758226803427866,4.0571143039260145,2.008830490112305,5.461194572448732,2.764598380117926
M24,263,262,3.2045201244100414,4.528985876767264,2.540056381225586,6.409058792114263,3.2117699860252493
M25,273,272,1.1854078473450935,1.762761260267794,0.7066815948486322,2.9084260482788085,1.1836994255640927
M26,273,272,1.1566028883168986,1.7099093246555528,0.7077273178100594,2.710584770202637,1.1563882375114105
M27,273,272,1.645325994945708,2.3055527875920805,1.202982597351074,3.4514813308715815,1.6431346088297227
M28,273,272,1.542204314675523,2.1940289628153415,1.164780731201171,3.054458679199219,1.5408807947705776
M29,273,272,1.5819705825847583,2.251968066851637,1.1839105224609376,3.4861460189819344,1.5805007685983883
M30,273,272,1.0541057240482652,1.504687713929183,0.7840128707885743,2.2257546386718756,1.0539415330395978
