compound_id,compound_group,window,selected_method,selected_measured_rt_min,top1_hit,top3_hit,feasible,excess_distance_min
1,63590c74120e85ecd05c0c08,2-5,M07,1.37,False,False,False,0.2999999999999998
1,63590c74120e85ecd05c0c08,5-10,M29,1.67,False,False,False,0.0
1,63590c74120e85ecd05c0c08,10-20,M29,1.67,False,False,False,0.0
1,63590c74120e85ecd05c0c08,20-40,M29,1.67,False,False,False,0.0
2,73c4545b8949e668c76a03b2,2-5,M08,1.05,False,False,True,0.95
2,73c4545b8949e668c76a03b2,5-10,M16,1.43,False,False,False,0.7400000000000002
2,73c4545b8949e668c76a03b2,10-20,M16,1.43,False,False,False,0.7400000000000002
2,73c4545b8949e668c76a03b2,20-40,M16,1.43,False,False,False,0.740000000000002
3,c7bcada0b8e888971aefc4c3,2-5,M30,1.41,False,False,False,0.56
3,c7bcada0b8e888971aefc4c3,5-10,M29,1.66,False,False,False,0.3099999999999996
3,c7bcada0b8e888971aefc4c3,10-20,M29,1.66,False,False,False,0.3100000000000005
3,c7bcada0b8e888971aefc4c3,20-40,M29,1.66,False,False,False,0.3099999999999987
4,91876cd96b4863b74f62ede1,2-5,M06,7.07,False,False,True,2.0700000000000003
4,91876cd96b4863b74f62ede1,5-10,M16,15.77,False,False,True,5.77
4,91876cd96b4863b74f62ede1,10-20,M16,15.77,True,True,True,0.0
4,91876cd96b4863b74f62ede1,20-40,M16,15.77,False,False,False,0.0
5,f388de2f1532bd2d15000e9e,2-5,M17,1.21,False,True,True,0.79
5,f388de2f1532bd2d15000e9e,5-10,M24,2.38,False,False,False,0.20999999999999996
5,f388de2f1532bd2d15000e9e,10-20,M16,2.03,False,False,False,0.5600000000000005
5,f388de2f1532bd2d15000e9e,20-40,M16,2.03,False,False,False,0.5599999999999987
6,903e67b4c2f9750d37336ae2,2-5,M25,1.52,False,False,True,0.48
6,903e67b4c2f9750d37336ae2,5-10,M25,1.52,False,False,False,0.9700000000000002
6,903e67b4c2f9750d37336ae2,10-20,M25,1.52,False,False,False,0.9700000000000006
6,903e67b4c2f9750d37336ae2,20-40,M25,1.52,False,False,False,0.9700000000000024
8,d8974ef08904a88379044d8b,2-5,M21,6.07,False,False,False,0.7000000000000002
8,d8974ef08904a88379044d8b,5-10,M20,7.91,True,True,True,0.0
8,d8974ef08904a88379044d8b,10-20,M12,16.87,True,True,True,0.0
8,d8974ef08904a88379044d8b,20-40,M16,32.21,True,True,True,0.0
12,f924f42d31e9b2b1918efd30,2-5,M07,4.34,True,True,True,0.0
12,f924f42d31e9b2b1918efd30,5-10,M16,5.09,True,True,True,0.0
12,f924f42d31e9b2b1918efd30,10-20,M16,5.09,False,False,False,1.2999999999999998
12,f924f42d31e9b2b1918efd30,20-40,M16,5.09,False,False,False,1.3000000000000007
13,cf7268b4f8767d681615d5ad,2-5,M13,1.27,False,False,False,0.4099999999999999
13,cf7268b4f8767d681615d5ad,5-10,M16,1.25,False,False,False,0.4299999999999997
13,cf7268b4f8767d681615d5ad,10-20,M16,1.25,False,False,False,0.4299999999999997
13,cf7268b4f8767d681615d5ad,20-40,M16,1.25,False,False,False,0.4299999999999997
14,37db2b79f652ee6c5f897d99,2-5,M01,4.07,True,True,True,0.0
14,37db2b79f652ee6c5f897d99,5-10,M12,5.62,True,True,True,0.0
